implementing_partners,activity,activity_new,activity_description,recode?,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Foods Support for RC Families
(Ah Lel Yar 2 Village)",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Foods Support for RC Families
(Ah Lel Yar 3 Village)",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Foods Support for RC Families
(Kun Chan Kone 1 Village)",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Foods Support for RC Families
(Kun Chan Kone 2 Village)",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Foods Support for RC Families
(Kun Chan Kone 3 Village)",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Foods Support for RC Families
(Kun Chan Kone 4 Village)",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Foods Support for RC Families
(Kun Chan Kone 5 Village)",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Foods Support for RC Families
(Kwet Thit 1 Village)",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Foods Support for RC Families
(Kwet Thit 3 Village)",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Foods Support for RC Families
(Kyaik Inn Village)",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Foods Support for RC Families
(Let Yet San Village)",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Foods Support for RC Families
(Mya Yar Yoe 5 Village)",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Foods Support for RC Families
(Mya Yar Yoe 6 Village)",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,For COVID 19 Affected Family,,
Myanmar Heart Development Organization,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,General Food Distribution,,
People for People,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,General Food Distribution,,
Plan International,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,General Food Distribution,,
WFP,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,General food distribution,,
WFP,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,General Food Distribution,,
Action for Green Earth,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,General Food Distribution to acutely food insecure population,,
Myanmar Heart Development Organization,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,General Food Distribution to acutely food insecure population,,
WFP,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,General Food Distribution to acutely food insecure population,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,General Food Distribution to acutely food insecure population,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,GN support for RC and their family,,
Health Poverty Action (HPA),Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,"HPA provided rice and cash( in lieu of bean, oil and salt) to 3009 IDPs in Hpun Lum Yang camp in October 2021, the ration cover for 3 months",,
Health Poverty Action (HPA),Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,"HPA provided rice and cash( in lieu of bean, oil and salt) to 5071 IDPs in Woi Chyai camp in October 2021, the ration cover for 3 months",,
Health Poverty Action (HPA),Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,"HPA provided rice to 2836 IDPs in Hpun Lum Yang camp in Aprl 2021, the ration cover for 3 months  from April to June",,
Health Poverty Action (HPA),Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,"HPA provided rice to 4725 IDPs in Woi Chyai camp in April 2021, the ration cover for 3 months from April to June",,
Health Poverty Action (HPA),Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,"HPA provided rice+cash in lieu of bean, oil and salt to 4725 IDPs in Woi Chyai camp in March 2021",,
WFP,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Implement a comprehensive school feeding programme in targeted schools in support of the government’s national programme,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,It's not monthly food assistance but only one time support.,,
Karuna Mission Social Solidarity,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,led by Food Committee and Distribute ward by ward,,
Helvetas,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Monthly food distribution for IDPs,,
Helvetas,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,NA,,
Hlaingthayar Development Network,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,NA,,
Hlaingthayar Youth Network,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,NA,,
Karuna Mission Social Solidarity,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,NA,,
KyWO,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,NA,,
Mercy Corps,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,NA,,
Metta Development Foundation,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,NA,,
MRCS,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,NA,,
Open Data Myanmar (ODM),Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,NA,,
Save the Children,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,NA,,
Urban Strength (US),Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,NA,,
WFP,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,NA,,
Zigway,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,NA,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Oil support for CPAG member,,
Helvetas,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,One time food distribution for IDPs,,
Karuna Mission Social Solidarity,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Procurement and Distribution of Rice,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Provide alpha protein soup and cooking oil to Ultra Poor Graduation Families,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Provide food items for MVC HHs,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Provide food items for RC and MVC families,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Provide food items for RC familes (Follow up action on COVID-19),,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Provide food items for RC familes (Follow up action),,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Provide rice bags to malnourished under-five children,,
WFP,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Provide unconditional food  assistance to crisis-affected populations,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Provided food package for Registered Child's brother who was attended hospital,,
Karuna Mission Social Solidarity,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of Cash assistance for food to new IDPs in Banmaw district,,
Karuna Mission Social Solidarity,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,provision of food and cash  assistance,,
MRCS,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of in-kind  emergency Food Assistant (Only rice) to food insecure household at Aung Myay Thar Zan,,
Hlaing Development Network,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of in-kind  emergency Food Assistant (Only rice) to food insecure household at Dagon Seikkan,,
Hlaingthayar Development Network,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of in-kind  emergency Food Assistant (Only rice) to food insecure household at Dagon Seikkan,,
Mangrove Service Network (MSN),Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of in-kind  emergency Food Assistant (Only rice) to food insecure household at Dagon Seikkan,,
MRCS,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of in-kind  emergency Food Assistant (Only rice) to food insecure household at Dagon Seikkan,,
Neo Prospect Company Limited,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of in-kind  emergency Food Assistant (Only rice) to food insecure household at Dagon Seikkan,,
Open Data Myanmar (ODM),Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of in-kind  emergency Food Assistant (Only rice) to food insecure household at Dagon Seikkan,,
Single Touch Point Company Limited (STP),Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of in-kind  emergency Food Assistant (Only rice) to food insecure household at Dagon Seikkan,,
Urban Strength (US),Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of in-kind  emergency Food Assistant (Only rice) to food insecure household at Dagon Seikkan,,
Hlaingthayar Development Network,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of in-kind  emergency Food Assistant (Only rice) to food insecure household at Hlaing Thar Yar township,,
Hlaingthayar Youth Network,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of in-kind  emergency Food Assistant (Only rice) to food insecure household at Hlaing Thar Yar township,,
Open Data Myanmar (ODM),Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of in-kind  emergency Food Assistant (Only rice) to food insecure household at Hlaing Thar Yar township,,
Urban Strength (US),Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of in-kind  emergency Food Assistant (Only rice) to food insecure household at Hlaing Thar Yar township,,
Zigway,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of in-kind  emergency Food Assistant (Only rice) to food insecure household at Hlaing Thar Yar township,,
MRCS,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of in-kind  emergency Food Assistant (Only rice) to food insecure household at Maharaungmyay,,
WFP,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,"Provision of in-kind  emergency Food Assistant to temporary displacement population due to armed comfct at the rate at 8.175 kg/person as two week ration of commodities (rice, pulse, oil, salt)",,
Karuna Mission Social Solidarity,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Provision of in-kind food Protracted Release to the crisis affected people, throughout the year (Jan to Dec 2021) at the rate at 16.35kg/person/month commodities (rice, pulse, oil, salt)",,
Myanmar Heart Development Organization,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Provision of in-kind food Protracted Release to the crisis affected people, throughout the year (Jan to Dec 2021) at the rate at 16.35kg/person/month commodities (rice, pulse, oil, salt)",,
WFP,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Provision of in-kind food Protracted Release to the crisis affected people, throughout the year (Jan to Dec 2021) at the rate at 16.35kg/person/month commodities (rice, pulse, oil, salt)",,
Karuna Mission Social Solidarity,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,"Provision of in-kind food relief assistance to prolongly displaced IDPs in monthly basic throughout the year (Jan to Dec 2021) at the rate at 16.35kg/person/month commodities (rice, pulse, oil, salt)",,
Myanmar Heart Development Organization,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,"Provision of in-kind food relief assistance to prolongly displaced IDPs in monthly basic throughout the year (Jan to Dec 2021) at the rate at 16.35kg/person/month commodities (rice, pulse, oil, salt)",,
Myanmar Heart Development Organization,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,"Provision of in-kind food relief assistance to prolongly displaced IDPs in monthly basic throughout the year (Jan to Dec 2021) at the rate at 16.35kg/person/month commodities (rice, pulse, oil, salt). 81.75kg per HH",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Rice 4 pyi for each child for participating in sponsorship programme activity,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Rice Bag supported to IDP,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Rice bags privode to malnuorish children.,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Rice provide to vulnerable children & families,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Rice support for CPI case,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Rice support for ECCD Caregiver,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Rice support for volunteers,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Rice2 Bags(50kg) per each HH,,
People Hope Community Development (PHCD),Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,SO 1 Activity 1 - Relief - 1.1.1 IDP Assistance,,
Together for Sustainable Development,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,SO 1 Activity 1 - Relief - 1.1.1 IDP Assistance,,
WFP,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,SO 1 Activity 1 - Relief - 1.1.1 IDP Assistance,,
Center for Social Integrity (CSI),Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Supplementary food distribution for pregnant and lactating women,,
Center for Social Integrity (CSI),Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Supplementary kits distribution for pregnant and lactation women,,
People in Need (PIN),Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Women HH living in 24 ward shwepyithar,,
Center for Social Integrity (CSI),Provide support for income generation,,Beneficiaries selection assessment for Home-gardening,,
Norwegian Refugee Council,Provide support for income generation,income-generating activities and small grants,Business Cash,,
Norwegian Refugee Council,Provide support for income generation,"provision of crop, vegetable and seed kits",Cash for farming (Livestock and Agri),,
Center for Social Integrity (CSI),Provide support for income generation,provision of kitchen garden kits,Cash support for Home-gardening outstanding households,,
Save the Children,Provide support for income generation,income-generating activities and small grants,Collective Business Grant to the beneficiaries,,
Solidarités International,Provide support for income generation,income-generating activities and small grants,Commercial Gardening,,
World Vision Myanmar,Provide support for income generation,income-generating activities and small grants,CPAG IGA support,,
Center for Social Integrity (CSI),Provide support for income generation,provision of kitchen garden kits,Distribution cash for Home-gardening,,
Center for Social Integrity (CSI),Provide support for income generation,provision of kitchen garden kits,"Distribution cash for Home-gardening (cow manure, bamboo poles, seeds, labour charges)",,
Center for Social Integrity (CSI),Provide support for income generation,provision of kitchen garden kits,Distribution cash for Home-gardening for household level,,
Dai Fin  Social Services  (Daifin),Provide support for income generation,income-generating activities and small grants,Emergency Livelihood Skills training and provide cash for livelihood,,
Ethinic Equality Initiative (EEI),Provide support for income generation,income-generating activities and small grants,Emergency Livelihood Skills training and provide cash for livelihood,,
Ethinic Equality Initiative (EEI),Provide support for income generation,income-generating activities and small grants,Emergency Livelihood Skills training and provide cash for livelihood.,,
World Vision Myanmar,Provide support for income generation,income-generating activities and small grants,IGA support,,
Danish Refugee Council,Provide support for income generation,income-generating activities and small grants,Livelihoods Cash Grants (One-off),,
Pyo Development Organisation,Provide support for income generation,income-generating activities and small grants,NA,,
Save the Children,Provide support for income generation,income-generating activities and small grants,Productive Grant to the beneficiaries,,
Helen Keller International,Provide support for income generation,income-generating activities and small grants,provide technical training to beneficiary about IGA,,
Mercy Corps,Provide support for income generation,"provision of crop, vegetable and seed kits",Provide Voucher Cards to buy agriculture inputs for their agricultural works,,
People for People,Provide support for income generation,"provision of crop, vegetable and seed kits",Provide Voucher Cards to buy agriculture inputs for their agricultural works,,
Norwegian Refugee Council,Provide support for income generation,income-generating activities and small grants,Provision of cash for business start up,,
World Vision Myanmar,Provide support for income generation,income-generating activities and small grants,Sewing Machine support for children/youth who completed vocational training,,
Solidarités International,Provide support for income generation,income-generating activities and small grants,Start-up kits distribution for Tailoring Vocational Training,,
Center for Social Integrity (CSI),Provide technical training,vocational training,Advanced business literacy training,,
Dai Fin  Social Services  (Daifin),Provide technical training,vocational training,"After priprotisation process, the most vlunerable household are selected. One family member from these houshold are provided livilihood training. They will latter on provided cash for livlihood",,
Danish Refugee Council,Provide technical training,vocational training,Apprenticeship training for 6 months,,
Center for Social Integrity (CSI),Provide technical training,vocational training,Basic business literacy training,,
Danish Refugee Council,Provide technical training,vocational training,Beneficiaries' feasibility Study for remote activities,,
Center for Social Integrity (CSI),Provide technical training,farmer training,"Bio pesticide, organic fertilizer making training",,
Norwegian Refugee Council,Provide technical training,vocational training,Business eye opening and advanced training,,
Norwegian Refugee Council,Provide technical training,vocational training,Business eye opening training,,
Norwegian Refugee Council,Provide technical training,vocational training,Business eyeopening and advanced training,,
CESVI Foundation,Provide technical training,farmer training,Climate Smart Agriculture and implementation,,
AVSI,Provide technical training,farmer training,Climate Smart Agriculture ToT Training,,
Danish Refugee Council,Provide technical training,vocational training,Enterpreneurship Training,,
CESVI Foundation,Provide technical training,farmer training,Farmer Field School for Climate Smart Agriculture (CSA),,
AVSI,Provide technical training,farmer training,Farmer Field School for Monsoon paddy (Module-1),,
AVSI,Provide technical training,farmer training,Farmer Field School for Monsoon paddy (Module-2),,
AVSI,Provide technical training,farmer training,Farmer Field School for Monsoon paddy (Module-3),,
AVSI,Provide technical training,farmer training,Farmer Field School for Monsoon paddy (Module-4),,
AVSI,Provide technical training,farmer training,Farmer Field School Training (2 times per month),,
AVSI,Provide technical training,farmer training,Farmer Field School Training (Farmer to Farmer),,
CESVI Foundation,Provide technical training,farmer training,"Farmer Field School, Agro-Livestock Advisory Training, MSME Training, Online Digital Training, Setup Kiosk (Information Hub) etc",,
Da-Nu National Affairs organization (DNAO),Provide technical training,farmer training,FFS training (2 times per month) for  dry season,,
Da-Nu National Affairs organization (DNAO),Provide technical training,farmer training,FFS training (2 times per month) for  monsoon season,,
Pan Taing Shin,Provide technical training,vocational training,Financial literacy and Life Skill training for youth adolesent,,
Ray of Lights,Provide technical training,vocational training,Financial literacy and Life Skill training for youth adolesent,,
Pan Taing Shin,Provide technical training,vocational training,Financial literacy training for parents of targeted youth,,
Ray of Lights,Provide technical training,vocational training,Financial literacy training for parents of targeted youth,,
Pan Taing Shin,Provide technical training,vocational training,Financial literacy training for youth adolesent,,
Ray of Lights,Provide technical training,vocational training,Financial literacy training for youth adolesent,,
ACTED,Provide technical training,farmer training,"Home Gargening Training,4 Demo-plots in 8 Terget villages, Malnutrition Training, Agricultural Input Distribution,Seed Multiplication Training, Refresher Training and Monitoring in 8 villages",,
Danish Refugee Council,Provide technical training,vocational training,Life Skill Training with COVID 19 resielences,,
Danish Refugee Council,Provide technical training,vocational training,"Life skills, Soft skills, entrepreneurship, trainings,  Short & Long terms skills TVET trainings",,
Danish Refugee Council,Provide technical training,vocational training,Livelihoods Skills Training (Long-term/ Apprenticeship),,
Danish Refugee Council,Provide technical training,vocational training,Livelihoods Skills Training (Short-term),,
Danish Refugee Council,Provide technical training,vocational training,Mobile Life Skill Training,,
Da-Nu National Affairs organization (DNAO),Provide technical training,farmer training,Moringa plantation and Home gardening training (Module 1),,
Da-Nu National Affairs organization (DNAO),Provide technical training,farmer training,Moringa plantation and Home gardening training (Module 2),,
Da-Nu National Affairs organization (DNAO),Provide technical training,farmer training,Moringa plantation and Home gardening training (Module 3),,
Da-Nu National Affairs organization (DNAO),Provide technical training,farmer training,Moringa plantation and Home gardening training (Module 4),,
Dai Fin  Social Services  (Daifin),Provide technical training,vocational training,NA,,
Ethinic Equality Initiative (EEI),Provide technical training,vocational training,NA,,
Center for Social Integrity (CSI),Provide technical training,vocational training,"Nutrition diet food, cooking demonstration training",,
Helen Keller International,Provide technical training,farmer training,provide agriculture and livestock training as monthly visit,,
Save the Children,Provide technical training,vocational training,Provide Financial education trainings and business skill development training for youths and adults. Provide 'transferable life skill trainings' for youths. Refer youths to organizations who provide vocational trainings.,,
Shan State Youth Capacity Building Centre (SSYCBC),Provide technical training,vocational training,Provide Financial education trainings and business skill development training for youths and adults. Provide 'transferable life skill trainings' for youths. Refer youths to organizations who provide vocational trainings.,,
Wunpawng Ninghtoi (WPN),Provide technical training,vocational training,Provide Financial education trainings and business skill development training for youths and adults. Provide 'transferable life skill trainings' for youths. Refer youths to organizations who provide vocational trainings.,,
Save the Children,Provide technical training,vocational training,Provide 'transferable life skill trainings' for youths..,,
Norwegian Refugee Council,Provide technical training,farmer training,Provision of home gardening training,,
Center for Social Integrity (CSI),Provide technical training,farmer training,Seed production training,,
CESVI Foundation,Provide technical training,farmer training,"Sesame, Groundnut, Green Mung Bean Production, Collective Marketing, Contract Farming and Governance",,
BRAC Myanmar,Provide technical training,farmer training,"SSA Module Training (Module 1,2 and 3)",,
BRAC Myanmar,Provide technical training,farmer training,SSA Refresher Training,,
Norwegian Refugee Council,Provide technical training,vocational training,Support advanced carpentry training,,
Norwegian Refugee Council,Provide technical training,vocational training,Support advanced dressmaking training,,
Norwegian Refugee Council,Provide technical training,vocational training,Support basic carpentry training and provision of start up kits,,
Norwegian Refugee Council,Provide technical training,vocational training,Support basic dressmaking training and provision of start up kits,,
Norwegian Refugee Council,Provide technical training,vocational training,Support basic motorbike training and provision of start up kits,,
Relief International,Provide technical training,vocational training,Training of women groups in entrepreneurship,,
AVSI,Provide technical training,vocational training,Vocational education training,,
CESVI Foundation,Provide technical training,vocational training,Water Stewardshiip Concept and Capacity Building to WUGs,,
Center for Social Integrity (CSI),Provide technical training,vocational training,Women empowerment training,,
Da-Nu National Affairs organization (DNAO),Provide technical training,vocational training,Women nutrition education and Soybean processing training (Module 1),,
Da-Nu National Affairs organization (DNAO),Provide technical training,vocational training,Women nutrition education and Soybean processing training (Module 2),,
Da-Nu National Affairs organization (DNAO),Provide technical training,vocational training,Women nutrition education and Soybean processing training (Module 3),,
