date,reporting_organization,implementing_partners,state,admin1_pcode,township,admin3_pcode,location,location_type,admin5_pcode,activity,delivery_modality,beneficiary_type,unique_beneficiaries,beneficiaries
2021-05-01,WFP,World Vision Myanmar,Rakhine,MMR012,Buthidaung,MMR012010,tha yet pyin,ward_towwn,189883,Provide monthly food baskets,In-kind,Rakhine stateless,No (beneficiary is also receiving other assistant),2499
2021-05-01,WFP,World Vision Myanmar,Rakhine,MMR012,Maungdaw,MMR012009,thet khaing nyar,ward_towwn,NA,Provide monthly food baskets,In-kind,Rakhine stateless,No (beneficiary is also receiving other assistant),210
2021-05-01,WFP,World Vision Myanmar,Rakhine,MMR012,Maungdaw,MMR012009,thit tone nar gwa son,ward_towwn,197825,Provide monthly food baskets,In-kind,Rakhine stateless,No (beneficiary is also receiving other assistant),1756
2021-05-01,WFP,World Vision Myanmar,Rakhine,MMR012,Buthidaung,MMR012010,u hla hpay,ward_towwn,198343,Provide monthly food baskets,In-kind,Rakhine stateless,No (beneficiary is also receiving other assistant),5068
2021-05-01,WFP,World Vision Myanmar,Rakhine,MMR012,Maungdaw,MMR012009,wet kyein,ward_towwn,NA,Provide monthly food baskets,In-kind,Rakhine stateless,No (beneficiary is also receiving other assistant),325
2021-05-01,WFP,World Vision Myanmar,Rakhine,MMR012,Maungdaw,MMR012009,yae nauk ngar thar,ward_towwn,197841,Provide monthly food baskets,In-kind,Rakhine stateless,No (beneficiary is also receiving other assistant),366
2021-05-01,WFP,World Vision Myanmar,Rakhine,MMR012,Maungdaw,MMR012009,ye aung san ya hpway,ward_towwn,197801,Provide monthly food baskets,In-kind,Rakhine stateless,No (beneficiary is also receiving other assistant),306
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Buthidaung,MMR012010,hpa yar pyin aung pa,ward_towwn,NA,Provide technical training,Service delivery/support,Host/local Community,Yes,15
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Buthidaung,MMR012010,hpa yar pyin aung pa,ward_towwn,NA,Provide technical training,Service delivery/support,Host/local Community,No (beneficiary is also receiving other assistant),15
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Buthidaung,MMR012010,hpa yar pyin aung pa,ward_towwn,NA,Provide technical training,Service delivery/support,Host/local Community,No (beneficiary is also receiving other assistant),15
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Buthidaung,MMR012010,hpa yar pyin aung pa,ward_towwn,NA,Provide technical training,Service delivery/support,Host/local Community,No (beneficiary is also receiving other assistant),15
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Buthidaung,MMR012010,wet ma kya (a) zay di taung,ward_towwn,NA,Provide technical training,Service delivery/support,Host/local Community,No (beneficiary is also receiving other assistant),12
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Buthidaung,MMR012010,wet ma kya (a) zay di taung,ward_towwn,NA,Provide technical training,Service delivery/support,Host/local Community,No (beneficiary is also receiving other assistant),12
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Buthidaung,MMR012010,wet ma kya (a) zay di taung,ward_towwn,NA,Provide technical training,Service delivery/support,Host/local Community,No (beneficiary is also receiving other assistant),12
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Buthidaung,MMR012010,wet ma kya (a) zay di taung,ward_towwn,NA,Provide technical training,Service delivery/support,Host/local Community,No (beneficiary is also receiving other assistant),12
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Maungdaw,MMR012009,maungdaw town,ward_towwn,NA,Provide technical training,Service delivery/support,Host/local Community,Yes,16
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Maungdaw,MMR012009,maungdaw town,ward_towwn,NA,Provide technical training,Service delivery/support,Host/local Community,Yes,168
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Maungdaw,MMR012009,maungdaw town,ward_towwn,NA,Provide technical training,Service delivery/support,Host/local Community,Yes,16
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Maungdaw,MMR012009,pan taw pyin,ward_towwn,187107,Provide technical training,Service delivery/support,Host/local Community,No (beneficiary is also receiving other assistant),10
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Maungdaw,MMR012009,pan taw pyin,ward_towwn,187107,Provide technical training,Service delivery/support,Host/local Community,No (beneficiary is also receiving other assistant),10
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Maungdaw,MMR012009,pan taw pyin,ward_towwn,187107,Provide technical training,Service delivery/support,Host/local Community,No (beneficiary is also receiving other assistant),10
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Maungdaw,MMR012009,pan taw pyin,ward_towwn,187107,Provide technical training,Service delivery/support,Host/local Community,No (beneficiary is also receiving other assistant),10
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Maungdaw,MMR012009,shwe zar kat pa kaung,ward_towwn,197933,Provide technical training,Service delivery/support,Host/local Community,Yes,48
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Buthidaung,MMR012010,let wea det pu zun chaung,ward_towwn,NA,Provide monthly cash-based transfers,Cash,Host/local Community,No (beneficiary is also receiving other assistant),203
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Buthidaung,MMR012010,mee kyaung khaung swea,ward_towwn,198179,Provide monthly cash-based transfers,Cash,Host/local Community,No (beneficiary is also receiving other assistant),1605
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Buthidaung,MMR012010,tat min chaung,ward_towwn,198168,Provide monthly cash-based transfers,Cash,Host/local Community,No (beneficiary is also receiving other assistant),188
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Buthidaung,MMR012010,tha peik taung,ward_towwn,NA,Provide monthly cash-based transfers,Cash,Host/local Community,No (beneficiary is also receiving other assistant),990
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Buthidaung,MMR012010,ywar ma,ward_towwn,151340,Provide monthly cash-based transfers,Cash,Host/local Community,No (beneficiary is also receiving other assistant),534
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Maungdaw,MMR012009,maungdaw town,ward_towwn,NA,Provide monthly cash-based transfers,Cash,Host/local Community,No (beneficiary is also receiving other assistant),329
2021-06-01,Center for Social Integrity (CSI),Center for Social Integrity (CSI),Rakhine,MMR012,Maungdaw,MMR012009,nyaung chaung,ward_towwn,159750,Provide monthly cash-based transfers,Cash,Host/local Community,No (beneficiary is also receiving other assistant),508
2021-06-01,Relief International,Relief International,Rakhine,MMR012,Mrauk-U,MMR012003,cha yar,ward_towwn,196596,Provide technical training,Service delivery/support,Host/local Community,Yes,6
2021-06-01,Solidarités International,Solidarités International,Rakhine,MMR012,Pauktaw,MMR012007,ah nauk ywe,camp,NA,Cash for Work / Food for Assets,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),123
2021-06-01,WFP,WFP,Rakhine,MMR012,Ann,MMR012014,pe pa don,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),404
2021-06-01,WFP,WFP,Rakhine,MMR012,Ann,MMR012014,kan deik,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),112
2021-06-01,WFP,WFP,Rakhine,MMR012,Ann,MMR012014,"sport hall, zay taung ward",camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),1589
2021-06-01,WFP,Myanmar Heart Development Organization,Rakhine,MMR012,Kyaukpyu,MMR012011,kyauk ta lone,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),1008
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,myo ma high school,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),1774
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,"kyauktaw town hall, pyi daw thar ward",camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),451
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,"church of christ, pyi taw thar ward",camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),359
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,kan sauk,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),241
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,kawi radanar,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),1482
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,mahar kan gyi shin,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),633
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,mahar kan gyi shin (thein pyin),camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),388
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,myo thit-hman kyaung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),118
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,nyaung chaung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),3338
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,shan ywar kyaung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),182
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,shwe kyaung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),508
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,taung min kalar,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),512
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,tharthanar beit hman,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),74
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,thein kyaung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),125
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,train station,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),822
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,war taung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),1241
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,nidin,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),600
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,let saung kauk,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),188
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,taung bwe,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),196
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,shwe hlaing,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),192
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,yun nyar,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),145
2021-06-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,khaung htoke,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),229
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,ann thar,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),833
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,dhanya waddy,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),126
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,na yan (dhamar yone),camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),104
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,na yan (monastery),camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),18
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,pale pauk,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),45
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,pone nyar rar ma,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),251
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,thu htay kone,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),126
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,thay kan,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),921
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,paik thay,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),200
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,tha yet oak,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),500
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,aung taing,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),167
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,sam ba le,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),371
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,tha dar,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),312
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,san htoe tan,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),108
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,san htoe tan (rak),camp,NA,Provide monthly cash-based transfers,Cash,Host/local Community,No (beneficiary is also receiving other assistant),145
2021-06-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,set yone maw,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),29
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,ag zay di,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),315
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,chit thaung monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),412
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,daing kyi new monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),225
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,daing kyi old monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),359
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,hpa ya paw thein,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),300
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,hta ma yeik,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),130
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,ku lar chaung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),649
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,koe na won,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),171
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,kyauk yeik kay monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),325
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,lat kauk zay monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),708
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,na kan,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),121
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,na rat sar,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),116
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,pu zun hpe,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),392
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,pi pin yin,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),2412
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,pya hla,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),1188
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,taung myint,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),484
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,tin htain kan monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),851
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,wet hla,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),788
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,ywa thit kay monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),908
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,pa rein,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),882
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,yai thei-muslim,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),551
2021-06-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,raw ma ni sin oe,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),92
2021-06-01,WFP,Myanmar Heart Development Organization,Rakhine,MMR012,Myebon,MMR012006,taung paw,camp,NA,Provide monthly cash-based transfers,Hybrid (In-kind & Cash),Internally Displaced,No (beneficiary is also receiving other assistant),2888
2021-06-01,WFP,WFP,Rakhine,MMR012,Myebon,MMR012006,ah ngu ywar thit,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),329
2021-06-01,WFP,WFP,Rakhine,MMR012,Myebon,MMR012006,kan htaunt kyi,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),1126
2021-06-01,WFP,WFP,Rakhine,MMR012,Pauktaw,MMR012007,saing toke,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),104
2021-06-01,WFP,WFP,Rakhine,MMR012,Ponnagyun,MMR012002,aung mingalar monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),51
2021-06-01,WFP,WFP,Rakhine,MMR012,Ponnagyun,MMR012002,dama mandai monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),62
2021-06-01,WFP,WFP,Rakhine,MMR012,Ponnagyun,MMR012002,ray phyu kan camp (industrial zone),camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),812
2021-06-01,WFP,Myanmar Heart Development Organization,Rakhine,MMR012,Rathedaung,MMR012008,nyaung pin gyi,camp,155382,Provide monthly cash-based transfers,Hybrid (In-kind & Cash),Rakhine stateless,No (beneficiary is also receiving other assistant),1830
2021-06-01,WFP,Myanmar Heart Development Organization,Rakhine,MMR012,Rathedaung,MMR012008,ah nauk pyin,camp,182513,Provide monthly cash-based transfers,Hybrid (In-kind & Cash),Rakhine stateless,No (beneficiary is also receiving other assistant),2741
2021-06-01,WFP,Myanmar Heart Development Organization,Rakhine,MMR012,Sittwe,MMR012001,sat roe kya,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),2149
2021-06-01,WFP,Myanmar Heart Development Organization,Rakhine,MMR012,Sittwe,MMR012001,baw du pha,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),7555
2021-06-01,WFP,People for People,Rakhine,MMR012,Sittwe,MMR012001,set yone su,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),375
2021-06-01,WFP,People for People,Rakhine,MMR012,Sittwe,MMR012001,basare,camp,196200,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),2496
2021-06-01,WFP,People for People,Rakhine,MMR012,Sittwe,MMR012001,ohn taw gyi 1,camp,196138,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),9567
2021-06-01,WFP,People for People,Rakhine,MMR012,Sittwe,MMR012001,ohn taw gyi 3,camp,196138,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),3596
2021-06-01,WFP,People for People,Rakhine,MMR012,Sittwe,MMR012001,ohn taw gyi 4,camp,196138,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),3974
2021-06-01,WFP,People for People,Rakhine,MMR012,Sittwe,MMR012001,ohn taw gyi 5,camp,196138,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),3092
2021-06-01,WFP,Plan International,Rakhine,MMR012,Sittwe,MMR012001,dar pai,camp,196200,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),4270
2021-06-01,WFP,Plan International,Rakhine,MMR012,Sittwe,MMR012001,say tha mar gyi,camp,199017,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),4334
2021-06-01,WFP,Plan International,Rakhine,MMR012,Sittwe,MMR012001,thae chaung,camp,196200,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),21137
2021-06-01,WFP,Plan International,Rakhine,MMR012,Sittwe,MMR012001,ohn taw chay,camp,199017,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),3445
2021-06-01,WFP,Plan International,Rakhine,MMR012,Sittwe,MMR012001,khaung doke khar 1,camp,196191,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),2496
2021-06-01,WFP,Plan International,Rakhine,MMR012,Sittwe,MMR012001,khaung doke khar 2,camp,196191,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),1975
2021-06-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,aung thiri monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),125
2021-06-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,ahmyo thar monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),108
2021-06-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,alo taw pyae monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),359
2021-06-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,baddaw maw,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),229
2021-06-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,da khaung (kon tan),camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),100
2021-06-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,dama yama monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),238
2021-06-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,gaw thi tar yone,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),21
2021-06-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,ka yu chaung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),67
2021-06-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,kyay taw,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),37
2021-06-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,maha muni,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),70
2021-06-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,maha zayya thihti pahtan monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),100
2021-06-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,mahar thima wan tha (phara myar thein) monastery (kone tan),camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),363
2021-06-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,mani radanar,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),171
2021-06-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,may yu dama set khu,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),100
2021-06-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,nann shwe gu,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,No (beneficiary is also receiving other assistant),92
